Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Rating,Ratings Count,Genres,Has Score,Rating Category
PS3,Tsukigime Ranko's Longest Day,Namco Bandai Games,Unknown,0.0,10000.0,0.0,10000.0,0.0,0.0,2014-01-16,,,Unknown,0,Sem Avaliação
PS4,Zombie Vikings,Rising Star Games,Zoink Games,0.0,10000.0,0.0,10000.0,0.0,0.0,2016-04-20,3.0,35.0,"Adventure, Action",1,Bom
PS3,Winning Post 8 2017,Tecmo Koei,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-03-02,,,Unknown,0,Sem Avaliação
PS3,Phantom Breaker,5pb,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2013-09-19,,,Unknown,0,Sem Avaliação
PS4,DJ Max Respect,Arc System Works,DJMAX Sound Lab Team,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-09-09,,,Unknown,0,Sem Avaliação
PS4,The Escapists: The Walking Dead,Team17 Software,Team17 Software,0.0,10000.0,0.0,0.0,0.0,0.0,2016-02-19,2.8,45.0,"Adventure, Action, RPG, Puzzle, Strategy, Indie",1,Regular
PS3,Winning Post 7 Maximum 2008,KOEI,Koei,0.0,10000.0,0.0,0.0,10000.0,0.0,2008-03-13,,,Unknown,0,Sem Avaliação
PS3,PAIN,Sony Computer Entertainment,Idol Minds Digital,0.0,10000.0,0.0,10000.0,0.0,0.0,2009-06-24,3.33,39.0,"Arcade, Indie, Adventure, Action",1,Bom
PS4,Happy Manager: Shiawase Zhuang no Kanrinin San,D3 Publisher,D3 Publisher,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-01-11,,,Unknown,0,Sem Avaliação
PS4,Hakoniwa Company Works,Nippon Ichi Software,Nippon Ichi Software,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-07-13,0.0,1.0,RPG,1,Ruim
PS4,Gungrave VR,Xseed Games,IGGYMOB,0.0,10000.0,10000.0,0.0,0.0,0.0,2018-12-11,0.0,2.0,"Shooter, Action",1,Ruim
PS3,Nobunaga no Yabou Online: Houou no Shou,Tecmo Koei,Unknown,0.0,10000.0,0.0,0.0,10000.0,0.0,2012-03-07,,,Unknown,0,Sem Avaliação
PS3,WSC REAL 09: World Snooker Championship,Deep Silver,Blade Interactive,0.0,10000.0,0.0,10000.0,0.0,0.0,2009-04-03,,,Unknown,0,Sem Avaliação
PS4,Atelier: The Alchemist of Arland 1-2-3 DX,Koei Tecmo,Gust,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-09-20,,,Unknown,0,Sem Avaliação
PS4,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,5pb,5pb. Inc.,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-09-07,,,Unknown,0,Sem Avaliação
PS4,GRIP: Combat Racing,U&I Entertainment,Caged Element,0.0,10000.0,10000.0,0.0,0.0,0.0,2018-11-06,2.99,147.0,"Racing, Indie, Action",1,Regular
PS3,Rugby League Live 3,Tru Blu Entertainment,Big Ant Studios,0.0,10000.0,0.0,10000.0,0.0,0.0,2015-09-24,0.0,1.0,Sports,1,Ruim
PS4,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,5pb,MAGES,0.0,10000.0,0.0,0.0,10000.0,0.0,2017-03-30,,,Unknown,0,Sem Avaliação
PS4,Dragon Quest X: All in One Package Ver.1-4,Square Enix,Square Enix,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-07-26,,,Unknown,0,Sem Avaliação
PS4,Mega Man X Legacy Collection 1,Capcom,Capcom,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-07-26,,,Unknown,0,Sem Avaliação
PS4,Mega Man X Legacy Collection 2,Capcom,Capcom,0.0,10000.0,0.0,0.0,10000.0,0.0,2018-07-26,3.7,32.0,Action,1,Bom
